distance,std,rssi,correlation,invalid_01,invalid_02
45,0.186877,-84,0.332493,0.287185,0.390132
45,0.363450,-86,0.174708,0.287392,0.390132
45,0.243999,-84,0.299022,0.284867,0.390132
45,0.299851,-84,0.298627,0.286594,0.390132
45,0.276911,-84,0.385691,0.286468,0.390132
45,0.355837,-85,0.230706,0.288831,0.390132
45,0.238443,-85,0.215529,0.288715,0.390132
45,0.186385,-86,0.274157,0.286418,0.390132
45,0.302585,-86,0.204063,0.287319,0.390132
45,0.289588,-87,0.233052,0.286940,0.390132
45,0.339020,-89,0.120559,0.290193,0.390132
45,0.309158,-89,0.183769,0.293029,0.390132
45,0.359356,-90,0.156767,0.295857,0.390132
45,0.267636,-87,0.136004,0.294543,0.390132
45,0.295687,-88,0.197590,0.294966,0.390132
45,0.308872,-89,0.146053,0.295265,0.390132
45,0.319030,-87,0.347364,0.297852,0.390132
45,0.347770,-88,0.385287,0.301117,0.390132
