distance,std,rssi,correlation,invalid_01,invalid_020;
0.121262;-9;0.734757;0.000000;0.000000
"0,25;0.001869;-37;0.991465;0.000000;0.000000"
"0,25;0.002376;-36;0.985909;0.000000;0.000000"
"0,25;0.002913;-35;0.987061;0.000000;0.000000"
"0,25;0.002362;-35;0.990108;0.000000;0.000000"
"0,25;0.002926;-36;0.988110;0.000000;0.000000"
"0,2;0.001905;-42;0.990934;0.000000;0.000000"
"0,2;0.003497;-41;0.990062;0.000000;0.000000"
"0,2;0.004854;-41;0.987223;0.000000;0.000000"
"0,5;0.002172;-41;0.990342;0.000000;0.000000"
"0,5;0.002205;-39;0.989646;0.000000;0.000000"
"0,5;0.002893;-40;0.986908;0.000000;0.000000"
"0,5;0.002083;-40;0.990350;0.000000;0.000000"
"0,5;0.001678;-40;0.991610;0.000000;0.000000"
"0,5;0.001584;-40;0.991006;0.000000;0.000000"
"0,5;0.002571;-40;0.985856;0.000000;0.000000"
"0,5;0.003299;-39;0.987969;0.000000;0.000000"
"0,5;0.003077;-41;0.989448;0.000000;0.000000"
"0,5;0.020153;-47;0.944686;0.000000;0.000000"
"0,5;0.004260;-40;0.984775;0.000000;0.000000"
"0,5;0.023231;-41;0.967039;0.000000;0.000000"
"0,5;0.003295;-41;0.989623;0.000000;0.000000"
"0,5;0.012077;-40;0.980603;0.000000;0.000000"
"0,5;0.002876;-41;0.991138;0.000000;0.000000"
"0,5;0.053949;-42;0.938788;0.000000;0.000000"
"0,5;0.004356;-41;0.986108;0.000000;0.000000"
"0,5;0.001706;-40;0.991324;0.000000;0.000000"
"0,5;0.003287;-40;0.989966;0.000000;0.000000"
"0,5;0.002319;-39;0.991129;0.000000;0.000000"
"0,5;0.002394;-39;0.991516;0.000000;0.000000"
"0,5;0.002063;-40;0.990723;0.000000;0.000000"
"0,5;0.001913;-40;0.990053;0.000000;0.000000"
"0,5;0.001786;-40;0.991680;0.000000;0.000000"
"0,5;0.002148;-40;0.989728;0.000000;0.000000"
"0,75;0.005137;-44;0.977815;0.000000;0.000000"
"0,75;0.005139;-44;0.975156;0.000000;0.000000"
"0,75;0.005430;-43;0.975597;0.000000;0.000000"
"0,75;0.004209;-43;0.983874;0.000000;0.000000"
"0,75;0.004266;-43;0.984438;0.000000;0.000000"
"0,75;0.003893;-43;0.981601;0.000000;0.000000"
"0,75;0.005901;-44;0.975918;0.000000;0.000000"
"0,75;0.004534;-43;0.981992;0.000000;0.000000"
"0,75;0.004969;-43;0.980689;0.000000;0.000000"
"0,75;0.006517;-43;0.971869;0.000000;0.000000"
"0,75;0.003190;-43;0.987121;0.000000;0.000000"
"0,75;0.005218;-43;0.976699;0.000000;0.000000"
"0,75;0.004755;-43;0.977959;0.000000;0.000000"
"0,75;0.004593;-43;0.978589;0.000000;0.000000"
"0,75;0.004005;-43;0.982004;0.000000;0.000000"
"0,75;0.003792;-43;0.981082;0.000000;0.000000"
"0,75;0.008251;-44;0.969565;0.000000;0.000000"
"0,75;0.004055;-44;0.981231;0.000000;0.000000"
"0,75;0.007212;-44;0.972902;0.000000;0.000000"
1;0.006708;-44;0.967040;0.000000;0.000000
1;0.017081;-43;0.919536;0.000000;0.000000
1;0.010723;-44;0.957967;0.000000;0.000000
1;0.012225;-44;0.931029;0.000000;0.000000
1;0.009047;-43;0.956389;0.000000;0.000000
1;0.014918;-44;0.925730;0.000000;0.000000
1;0.013727;-43;0.926017;0.000000;0.000000
1;0.011383;-43;0.934993;0.000000;0.000000
1;0.019470;-44;0.906492;0.000000;0.000000
1;0.029464;-44;0.869012;0.000000;0.000000
1;0.017532;-43;0.919450;0.000000;0.000000
1;0.009186;-44;0.950348;0.000000;0.000000
1;0.024087;-43;0.883290;0.000000;0.000000
1;0.023693;-44;0.873078;0.000000;0.000000
1;0.010218;-43;0.947218;0.000000;0.000000
1;0.012247;-44;0.950556;0.000000;0.000000
1;0.021591;-44;0.898067;0.000000;0.000000
1;0.009635;-43;0.952838;0.000000;0.000000
1;0.011905;-43;0.940886;0.000000;0.000000
1;0.012966;-43;0.929483;0.000000;0.000000
1;0.012226;-43;0.949853;0.000000;0.000000
1;0.023110;-44;0.870598;0.000000;0.000000
1;0.026753;-44;0.897404;0.000000;0.000000
1;0.007674;-43;0.966136;0.000000;0.000000
1;0.007699;-43;0.962838;0.000000;0.000000
"1,25;0.112801;-52;0.791034;0.000000;0.000000"
"1,25;0.074713;-53;0.885691;0.000000;0.000000"
"1,25;0.015370;-54;0.963370;0.000000;0.000000"
"1,25;0.116639;-53;0.845944;0.000000;0.000000"
"1,25;0.022020;-54;0.944347;0.000000;0.000000"
"1,25;0.019643;-55;0.941513;0.000000;0.000000"
"1,25;0.012062;-55;0.964790;0.000000;0.000000"
"1,25;0.013379;-54;0.959390;0.000000;0.000000"
"1,25;0.014264;-54;0.956670;0.000000;0.000000"
"1,25;0.011306;-54;0.965555;0.000000;0.000000"
"1,25;0.021137;-54;0.944887;0.000000;0.000000"
"1,25;0.022996;-54;0.924297;0.000000;0.000000"
"1,25;0.017916;-54;0.938346;0.000000;0.000000"
"1,25;0.017852;-54;0.958459;0.000000;0.000000"
"1,25;0.020156;-55;0.930287;0.000000;0.000000"
"1,25;0.044359;-54;0.920548;0.000000;0.000000"
"1,25;0.063959;-54;0.861587;0.000000;0.000000"
"1,25;0.022151;-55;0.942021;0.000000;0.000000"
"1,25;0.010397;-54;0.966633;0.000000;0.000000"
"1,25;0.076026;-55;0.827911;0.000000;0.000000"
"1,25;0.008622;-55;0.969381;0.000000;0.000000"
"1,25;0.004311;-54;0.976861;0.000000;0.000000"
"1,25;0.018979;-54;0.948634;0.000000;0.000000"
"1,25;0.023391;-55;0.949109;0.000000;0.000000"
"1,25;0.039354;-55;0.891896;0.000000;0.000000"
"1,5;0.008705;-55;0.954333;0.000000;0.000000"
"1,5;0.005754;-55;0.972620;0.000000;0.000000"
"1,5;0.009189;-54;0.952396;0.000000;0.000000"
"1,5;0.006128;-55;0.963826;0.000000;0.000000"
