2;-49;-90;82;82;-96;4;0;0;0;0;0;0;0;-4;1;-13;5;-13;6;-13;6;-13;6;-13;6;-13;6;-13;6;-13;6;-12;6;-12
2;-37;-90;37;37;80;2;0;0;0;0;0;0;0;-5;-2;-20;-6;-20;-6;-20;-6;-20;-5;-20;-5;-20;-5;-20;-5;-19;-4;-19;-4;-19
2;-49;-90;83;83;-80;4;0;0;0;0;0;0;0;3;-3;13;-9;13;-9;13;-10;12;-10;12;-10;12;-10;11;-10;11;-10;11;-11;11
2;-47;-90;83;83;-80;4;0;0;0;0;0;0;0;2;-3;10;-12;10;-13;9;-13;9;-13;9;-13;9;-13;8;-13;8;-13;7;-13;7
2;-47;-90;83;83;-80;4;0;0;0;0;0;0;0;1;-4;4;-15;4;-15;3;-15;3;-15;3;-15;2;-15;2;-15;2;-15;2;-15;2
2;-47;-90;176;-80;0;11;0;0;0;0;0;0;0;2;2;9;11;8;11;8;11;9;11;9;10;9;10;10;10;10;10;10;10;10
2;-47;-90;171;-85;-80;10;0;0;0;0;0;0;0;0;4;0;16;0;16;0;16;0;16;0;16;1;15;1;15;1;15;1;16;2
2;-47;-90;83;83;-80;4;0;0;0;0;0;0;0;-3;2;-12;9;-12;9;-12;9;-11;9;-11;9;-11;9;-11;10;-11;10;-11;10;-10
2;-47;-90;123;123;-80;7;0;0;0;0;0;0;0;-2;-6;-6;-21;-7;-22;-8;-22;-9;-23;-10;-24;-11;-24;-12;-24;-13;-24;-14;-25;-14
2;-47;-90;110;110;-32;6;0;0;0;0;0;0;0;-3;3;-9;12;-9;12;-8;12;-8;12;-8;12;-8;12;-7;12;-7;12;-7;12;-6
2;-46;-91;82;82;-96;4;0;0;0;0;0;0;0;-4;-3;-13;-10;-13;-10;-13;-10;-13;-9;-13;-9;-14;-9;-14;-8;-14;-8;-14;-8;-14
2;-36;-91;37;37;80;2;0;0;0;0;0;0;0;-3;3;-12;13;-12;13;-12;13;-11;13;-11;13;-11;13;-11;13;-10;13;-10;13;-9
